timestamp,open,high,low,close,volume
2025-12-25 04:00:00,87793.1,87793.1,87700.0,87767.0,7.10490586
2025-12-25 05:00:00,87767.0,87767.0,87592.1,87711.4,23.05854698
2025-12-25 06:00:00,87711.4,87759.2,87650.3,87759.2,26.76146045
2025-12-25 07:00:00,87759.2,87786.4,87702.5,87786.4,8.1722407
2025-12-25 08:00:00,87786.4,87840.9,87309.0,87528.2,9.19104778
2025-12-25 09:00:00,87528.2,87528.2,87393.9,87460.6,20.16119147
2025-12-25 10:00:00,87460.6,87460.6,87227.1,87364.5,8.597808
2025-12-25 11:00:00,87364.5,87532.5,87364.4,87462.4,6.71885311
2025-12-25 12:00:00,87462.4,87520.1,87448.1,87488.1,4.45131981
2025-12-25 13:00:00,87488.1,87603.3,87359.0,87582.9,10.20519971
2025-12-25 14:00:00,87582.9,87691.4,87514.7,87667.5,5.72021328
2025-12-25 15:00:00,87667.5,88547.9,87667.5,88265.8,120.1494061
2025-12-25 16:00:00,88282.8,88396.7,87954.9,88048.6,34.46078
2025-12-25 17:00:00,88048.6,88116.9,87965.5,88081.4,59.12777952
2025-12-25 18:00:00,88081.4,88256.0,88081.3,88178.5,30.44009238
2025-12-25 19:00:00,88178.6,88178.6,88013.0,88088.0,8.92359089
2025-12-25 20:00:00,88088.0,88100.0,87571.7,87833.1,52.36385827
2025-12-25 21:00:00,87833.2,87912.3,87765.0,87838.8,8.86009477
2025-12-25 22:00:00,87838.8,87843.9,87290.0,87589.8,34.51245835
2025-12-25 23:00:00,87589.8,87691.8,86944.9,87198.0,51.51315248
2025-12-26 00:00:00,87183.0,87271.3,86848.0,87052.0,138.12570716
2025-12-26 01:00:00,87052.0,87405.2,87051.9,87370.2,39.88842558
2025-12-26 02:00:00,87370.2,89332.9,87370.1,89099.9,215.96674297
2025-12-26 03:00:00,89100.0,89181.6,88625.0,88736.5,101.06909727
2025-12-26 04:00:00,88736.5,89043.4,88460.9,88897.7,37.95474325
2025-12-26 05:00:00,88897.8,88934.0,88766.5,88933.9,17.6698552
2025-12-26 06:00:00,88934.0,89171.7,88933.5,89053.1,31.60046816
2025-12-26 07:00:00,89053.1,89484.6,88292.1,88374.9,202.14916275
2025-12-26 08:00:00,88375.0,88798.3,88358.5,88674.8,37.43876054
2025-12-26 09:00:00,88674.8,88820.1,88607.3,88749.9,9.44773844
2025-12-26 10:00:00,88749.9,88809.4,88611.1,88699.2,12.91100449
2025-12-26 11:00:00,88699.2,88699.2,88484.2,88498.5,41.27263455
2025-12-26 12:00:00,88498.5,88679.3,88498.4,88612.4,16.55341512
2025-12-26 13:00:00,88612.4,88979.6,88581.7,88961.8,24.36746344
2025-12-26 14:00:00,88961.8,88992.6,87290.3,87367.2,106.58554771
2025-12-26 15:00:00,87341.2,87341.2,86611.7,87066.1,242.75186113
2025-12-26 16:00:00,87066.1,87287.7,86762.7,86783.1,99.39652268
2025-12-26 17:00:00,86783.1,87363.3,86755.6,87232.5,51.34948674
2025-12-26 18:00:00,87232.5,87289.7,87053.5,87200.7,86.11261329
